"Position (m) Run #1","Force (N) Run #1"
0.00467,-104.0
0.00467,-103.8
0.00467,-104.0
0.00467,-104.7
0.00467,-104.7
0.00467,-104.7
0.00467,-104.5
0.00467,-104.5
0.00467,-104.2
0.00467,-103.8
0.00467,-104.7
0.00467,-104.0
0.00467,-104.7
0.00467,-104.5
0.00467,-104.0
0.00467,-104.5
0.00467,-103.5
0.00467,-104.0
0.00467,-104.5
0.00467,-104.5
0.00467,-104.0
0.00467,-103.8
0.00467,-103.8
0.00467,-103.8
0.00467,-104.0
0.00467,-103.5
0.00467,-104.2
0.00467,-103.3
0.00467,-103.3
0.00467,-104.0
0.00467,-103.3
0.00467,-103.3
0.00467,-103.5
0.00467,-104.0
0.00467,-103.5
0.00467,-104.7
0.00467,-104.5
0.00467,-103.8
0.00467,-104.5
0.00467,-103.8
0.00467,-104.5
0.00467,-104.2
0.00467,-103.8
0.00467,-104.2
0.00467,-104.2
0.00467,-104.2
0.00467,-103.5
0.00467,-103.8
0.00467,-103.8
0.00467,-103.8
0.00467,-104.0
0.00467,-103.3
0.00467,-104.0
0.00467,-103.8
0.00467,-103.5
0.00467,-104.0
0.00467,-103.8
0.00467,-103.3
0.00467,-104.0
0.00467,-103.5
0.00467,-104.0
0.00467,-103.8
0.00467,-103.8
0.00467,-103.8
0.00467,-104.0
0.00467,-103.8
0.00467,-104.2
0.00467,-103.8
0.00467,-105.0
0.00467,-104.7
0.00467,-103.5
0.00467,-104.0
0.00467,-104.0
0.00467,-103.8
0.00467,-103.0
0.00467,-103.8
0.00467,-103.8
0.00467,-103.3
0.00467,-103.0
0.00467,-103.8
0.00467,-103.5
0.00467,-103.5
0.00467,-103.3
0.00467,-103.8
0.00467,-104.0
0.00467,-104.5
0.00467,-103.3
0.00467,-104.5
0.00467,-103.0
0.00467,-104.2
0.00467,-104.2
0.00467,-103.8
0.00467,-103.8
0.00467,-103.8
0.00467,-103.3
0.00467,-103.8
0.00467,-103.8
0.00467,-103.3
0.00467,-104.2
0.00467,-103.3
0.00467,-103.5
0.00467,-103.3
0.00467,-103.3
0.00467,-104.0
0.00467,-103.8
0.00467,-103.5
0.00467,-103.8
0.00467,-103.0
0.00467,-103.3
0.00467,-103.3
0.00467,-103.8
0.00467,-103.0
0.00467,-103.5
0.00467,-104.0
0.00467,-103.3
0.00467,-103.5
0.00467,-103.0
0.00467,-103.8
0.00467,-104.2
0.00467,-103.3
0.00467,-103.5
0.00467,-104.5
0.00467,-104.2
0.00467,-103.5
0.00467,-104.2
0.00467,-104.7
0.00467,-103.5
0.00467,-103.8
0.00467,-104.2
0.00467,-104.0
0.00467,-104.0
0.00467,-103.3
0.00467,-103.3
0.00467,-104.5
0.00467,-104.0
